Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
LucySuite,Chrome 106.0.0.0,,,2022-10-26 10:39:27,2022-10-26 10:40:43,1m - 15.687s,PASSED
,,,,,,,
Test Cases/TC1_Verify UI of button Tìm Kiếm,Chrome 106.0.0.0,,,2022-10-26 10:39:27,2022-10-26 10:40:05,37.434s,PASSED
openBrowser(TIKI_RAW_URL),Chrome 106.0.0.0,,,2022-10-26 10:39:28,2022-10-26 10:39:32,4.519s,PASSED
"verifyElementPresent(findTestObject(""Tiki_search_Block/btn_search""), 10)",Chrome 106.0.0.0,,,2022-10-26 10:39:32,2022-10-26 10:39:33,1.458s,PASSED
"text = getText(findTestObject(""Tiki_search_Block/btn_search""))",Chrome 106.0.0.0,,,2022-10-26 10:39:33,2022-10-26 10:39:34,0.439s,PASSED
"realText = ""Tìm Kiếm""",Chrome 106.0.0.0,,,2022-10-26 10:39:34,2022-10-26 10:39:34,0.001s,PASSED
"verifyMatch(text, realText, true)",Chrome 106.0.0.0,,,2022-10-26 10:39:34,2022-10-26 10:39:34,0.029s,PASSED
"color = getCSSValue(findTestObject(""Tiki_search_Block/btn_search""), ""color"")",Chrome 106.0.0.0,,,2022-10-26 10:39:34,2022-10-26 10:39:34,0.420s,PASSED
colorHex = FinalKeywords.convertRGBAStringToHex(color),Chrome 106.0.0.0,,,2022-10-26 10:39:34,2022-10-26 10:39:34,0.021s,PASSED
"realColor = ""#ffffff""",Chrome 106.0.0.0,,,2022-10-26 10:39:34,2022-10-26 10:39:34,0.000s,PASSED
"verifyMatch(colorHex, realColor, true)",Chrome 106.0.0.0,,,2022-10-26 10:39:34,2022-10-26 10:39:34,0.003s,PASSED
"bgr = getCSSValue(findTestObject(""Tiki_search_Block/btn_search""), ""background"")",Chrome 106.0.0.0,,,2022-10-26 10:39:34,2022-10-26 10:40:05,30.132s,PASSED
rgbBrgColor = FinalKeywords.getRGBString(bgr),Chrome 106.0.0.0,,,2022-10-26 10:40:05,2022-10-26 10:40:05,0.003s,PASSED
colorBgrHex = FinalKeywords.convertRGBStringToHex(rgbBrgColor),Chrome 106.0.0.0,,,2022-10-26 10:40:05,2022-10-26 10:40:05,0.001s,PASSED
"realBgr = ""#0d5cb6""",Chrome 106.0.0.0,,,2022-10-26 10:40:05,2022-10-26 10:40:05,0.001s,PASSED
"verifyMatch(colorBgrHex, realBgr, true)",Chrome 106.0.0.0,,,2022-10-26 10:40:05,2022-10-26 10:40:05,0.003s,PASSED
,,,,,,,
Test Cases/TC2 - Verify options list on the category page displays correctly,Chrome 106.0.0.0,,,2022-10-26 10:40:05,2022-10-26 10:40:12,7.156s,PASSED
